lcz_lib,lcz_code,insee,commune,expo_jour,expo_nuit,vulnerabilite_jour,vulnerabilite_nuit,surface,gid
Grandes emprises tertiaires bâti bas,LCZ 8,69389,Lyon 9e Arrondissement,moyen,faible,moyen,moyen,4478,
Roche nue,,,,,,,,,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles espacés,LCZ 5,69286,Rillieux-la-Pape,faible,effet rafraîchissant,faible,faible,15436,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69266,Villeurbanne,fort,fort,fort,fort,2618,
Ensemble de maisons espacées,LCZ 6,69259,Vénissieux,moyen,faible,fort,fort,315181,
Ensemble d'immeubles espacés,LCZ 5,69266,Villeurbanne,fort,faible,fort,fort,43193,
Ensemble de tours espacées,LCZ 4,69142,La Mulatière,moyen,faible,moyen,moyen,2102,
Ensemble de tours espacées,LCZ 4,69199,Saint-Fons,moyen,faible,fort,fort,27412,
Ensemble de maisons espacées,LCZ 6,69034,Caluire-et-Cuire,moyen,faible,moyen,moyen,6911,
Maisons éparses,,,,,,,,,
Grandes emprises tertiaires bâti bas,LCZ 8,69286,Rillieux-la-Pape,moyen,faible,moyen,moyen,12497,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,5728,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
Pelouses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69127,Marcy-l'Étoile,fort,moyen,moyen,moyen,83411,
Ensemble de tours espacées,LCZ 4,69382,Lyon 2e Arrondissement,fort,fort,fort,fort,28378,
Ensemble de tours espacées,LCZ 4,69386,Lyon 6e Arrondissement,moyen,fort,moyen,fort,3237,
Ensemble de maisons espacées,LCZ 6,69244,Tassin-la-Demi-Lune,moyen,faible,moyen,moyen,142456,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69091,Givors,moyen,faible,fort,fort,12562,
Ensemble d'immeubles espacés,LCZ 5,69290,Saint-Priest,fort,faible,fort,moyen,50837,
Ensemble d'immeubles compact,LCZ 2,69382,Lyon 2e Arrondissement,fort,fort,fort,fort,5225,
Maisons éparses,,,,,,,,,
Roche nue,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69256,Vaulx-en-Velin,moyen,faible,fort,fort,76840,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69034,Caluire-et-Cuire,fort,fort,moyen,moyen,3532,
Arbres denses,LCZ A,69207,Saint-Germain-au-Mont-d'Or,effet rafraîchissant,effet rafraîchissant,faible,faible,3470,
Ensemble d'immeubles compact,LCZ 2,69381,Lyon 1er Arrondissement,fort,fort,fort,fort,2543,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,7600,
Ensemble de maisons espacées,LCZ 6,69029,Bron,moyen,faible,moyen,moyen,15529,
Ensemble d'immeubles compact,LCZ 2,69383,Lyon 3e Arrondissement,fort,fort,fort,fort,14670,
Ensemble de maisons espacées,LCZ 6,69091,Givors,faible,faible,fort,fort,17578,
Roche nue,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69116,Limonest,moyen,faible,moyen,fort,12744,
Ensemble de tours espacées,LCZ 4,69388,Lyon 8e Arrondissement,moyen,moyen,moyen,moyen,21403,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69286,Rillieux-la-Pape,moyen,faible,fort,fort,76534,
Maisons éparses,,,,,,,,,
Grandes emprises tertiaires bâti bas,LCZ 8,69003,Albigny-sur-Saône,moyen,faible,moyen,moyen,59922,
Arbres denses,LCZ A,69266,Villeurbanne,effet rafraîchissant,effet rafraîchissant,faible,faible,208168,
Grandes emprises tertiaires bâti bas,LCZ 8,69266,Villeurbanne,moyen,faible,moyen,moyen,44213,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles espacés,LCZ 5,69383,Lyon 3e Arrondissement,fort,moyen,moyen,moyen,16367,
Maisons éparses,,,,,,,,,
Arbres denses,LCZ A,69091,Givors,effet rafraîchissant,effet rafraîchissant,faible,faible,48564,
Ensemble de maisons espacées,LCZ 6,69385,Lyon 5e Arrondissement,moyen,faible,moyen,moyen,72709,
Arbres denses,LCZ A,69081,Écully,effet rafraîchissant,effet rafraîchissant,faible,faible,1201,
Grandes emprises tertiaires bâti bas,LCZ 8,69290,Saint-Priest,moyen,faible,moyen,moyen,16476,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69202,Sainte-Foy-lès-Lyon,moyen,moyen,moyen,fort,33716,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,11679,
Ensemble d'immeubles compact,LCZ 2,69382,Lyon 2e Arrondissement,fort,fort,fort,fort,4940,
Ensemble de maisons espacées,LCZ 6,69199,Saint-Fons,moyen,moyen,moyen,moyen,3862,
Ensemble de maisons espacées,LCZ 6,69087,Fontaines-Saint-Martin,moyen,faible,moyen,moyen,73364,
Ensemble de maisons espacées,LCZ 6,69259,Vénissieux,moyen,faible,fort,moyen,10892,
Pelouses,,,,,,,,,
Arbres épars,LCZ B,69163,Quincieux,moyen,faible,moyen,moyen,453649,
Arbres denses,LCZ A,69063,Collonges-au-Mont-d'Or,effet rafraîchissant,effet rafraîchissant,faible,faible,1784,
Ensemble d'immeubles compact,LCZ 2,69266,Villeurbanne,fort,fort,moyen,fort,5044,
Ensemble de maisons espacées,LCZ 6,69069,Craponne,moyen,faible,moyen,moyen,19775,
Ensemble de maisons espacées,LCZ 6,69286,Rillieux-la-Pape,moyen,faible,fort,moyen,48320,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69389,Lyon 9e Arrondissement,fort,fort,fort,fort,7137,
Ensemble d'immeubles compact,LCZ 2,69383,Lyon 3e Arrondissement,fort,fort,fort,fort,9396,
Pelouses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69259,Vénissieux,moyen,faible,moyen,moyen,59583,
Grandes emprises tertiaires bâti bas,LCZ 8,69034,Caluire-et-Cuire,moyen,faible,moyen,moyen,5416,
Grandes emprises tertiaires bâti bas,LCZ 8,69286,Rillieux-la-Pape,moyen,faible,moyen,moyen,17858,
Grandes emprises tertiaires bâti bas,LCZ 8,69127,Marcy-l'Étoile,moyen,faible,moyen,faible,40550,
Ensemble d'immeubles espacés,LCZ 5,69149,Oullins,fort,faible,moyen,moyen,9285,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69382,Lyon 2e Arrondissement,fort,fort,fort,fort,3196,
Grandes emprises tertiaires bâti bas,LCZ 8,69290,Saint-Priest,moyen,faible,moyen,moyen,331277,
Arbres épars,LCZ B,69382,Lyon 2e Arrondissement,moyen,faible,moyen,moyen,50836,
Ensemble de tours compact,LCZ 1,69382,Lyon 2e Arrondissement,fort,fort,moyen,moyen,15276,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69259,Vénissieux,moyen,faible,fort,moyen,23575,
Arbres épars,LCZ B,69046,Charly,moyen,faible,fort,moyen,103564,
Maisons éparses,,,,,,,,,
Ensemble de tours espacées,LCZ 4,69386,Lyon 6e Arrondissement,fort,fort,moyen,fort,6688,
Roche nue,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69389,Lyon 9e Arrondissement,fort,fort,fort,fort,14254,
Ensemble d'immeubles compact,LCZ 2,69382,Lyon 2e Arrondissement,fort,fort,fort,fort,5660,
Ensemble d'immeubles espacés,LCZ 5,69384,Lyon 4e Arrondissement,fort,faible,fort,moyen,2919,
Ensemble de maisons espacées,LCZ 6,69276,Feyzin,moyen,faible,moyen,moyen,43162,
Ensemble de maisons espacées,LCZ 6,69003,Albigny-sur-Saône,moyen,faible,moyen,moyen,40046,
